Date,Energy Required (MU),Energy Met (MU),Energy +/- (MU),Genco Thermal,Genco Hydel,Genco Total,CGS and Purchases,IPPS (GAS),NCEs & Others,AP Share of TGISTS,Grand Total,Reversible Pump Consumption,Unrestricted Peak Demand (MW),Deficit/Surplus (MW)
02-May-12,255.639,241.185,-14.454,103.643,5.276,108.919,77.106,42.752,12.408,0,241.185,0,12099,-1000
03-May-12,258.47,243.37,-15.1,106.255,3.748,110.003,79.273,41.374,12.72,0,243.37,0,12219,-1500
04-May-12,261.393,247.449,-13.944,106.153,6.527,112.68,82.753,39.385,12.631,0,247.449,0,11693,-1000
05-May-12,252.866,237.919,-14.947,95.295,5.334,100.629,85.987,39.256,12.047,0,237.919,0,11636,-1000
06-May-12,250.566,236.528,-14.038,95.862,4.494,100.356,86.762,38.017,11.393,0,236.528,0,11133,-700
07-May-12,258.248,236.157,-22.091,97.358,5.867,103.225,83.502,37.397,12.033,0,236.157,0,11475,-900
08-May-12,263.541,242.967,-20.574,101.951,6.609,108.56,84.904,37.426,12.077,0,242.967,0,11403,-1000
09-May-12,266.493,248.327,-18.166,106.344,4.334,110.678,81.923,43.587,12.139,0,248.327,0,11481,-800
10-May-12,254.416,236.666,-17.75,101.765,3.633,105.398,74.886,43.818,12.564,0,236.666,0,11354,-1000
11-May-12,254.027,236.816,-17.211,100.465,5.82,106.285,79.03,38.853,12.648,0,236.816,0,11360,-1100
12-May-12,256.962,238.865,-18.097,97.571,4.516,102.087,84.858,39.27,12.65,0,238.865,0,11084,-700
13-May-12,238.803,225.786,-13.017,93.234,4.644,97.878,78.65,37.319,11.939,0,225.786,0,10908,-800
14-May-12,262.773,241.248,-21.525,102.997,5.581,108.578,82.48,38.389,11.801,0,241.248,0,11574,-1000
15-May-12,263.833,243.112,-20.721,103.931,3.997,107.928,83.011,39.863,12.31,0,243.112,0,11484,-1000
16-May-12,259.041,239.14,-19.901,103.633,5.056,108.689,79.335,38.775,12.341,0,239.14,0,11554,-1000
17-May-12,264.371,246.022,-18.349,106.606,5.559,112.165,80.212,41.066,12.579,0,246.022,0,11822,-1000
18-May-12,267.596,246.477,-21.119,104.914,6.428,111.342,81.785,40.698,12.652,0,246.477,0,11890,-1200
19-May-12,262.897,233.51,-29.387,105.854,6.348,112.202,76.12,32.372,12.816,0,233.51,0,11479,-1000
20-May-12,258.687,229.435,-29.252,99.525,5.299,104.824,82.24,29.654,12.717,0,229.435,0,11617,-1600
21-May-12,271.894,234.723,-37.171,95.382,6.856,102.238,90.629,29.621,12.235,0,234.723,0,12294,-2000
22-May-12,279.686,243.195,-36.491,103.762,6.915,110.677,88.322,32.559,11.637,0,243.195,0,12148,-1800
23-May-12,276.753,243.188,-33.565,102.741,6.633,109.374,87.72,34.581,11.513,0,243.188,0,11689,-1300
24-May-12,274.711,247.281,-27.43,104.656,5.86,110.516,88.649,36.782,11.334,0,247.281,0,11857,-1300
25-May-12,271.717,244.05,-27.667,105.424,5.932,111.356,84.72,36.437,11.537,0,244.05,0,11407,-1000
26-May-12,268.904,238.141,-30.763,103.239,6.75,109.989,85.017,31.005,12.13,0,238.141,0,11546,-1300
27-May-12,260.872,239.711,-21.161,103.611,6.831,110.442,87.6,29.126,12.543,0,239.711,0,11669,-1500
28-May-12,267.995,239.307,-28.688,104.048,7.299,111.347,86.57,29.003,12.387,0,239.307,0,11832,-1500
29-May-12,273.322,244.963,-28.359,104.977,6.176,111.153,87.704,33.765,12.341,0,244.963,0,12707,-2000
30-May-12,275.958,243.124,-32.834,100.572,7.899,108.471,86.66,36.311,11.682,0,243.124,0,11871,-1400
31-May-12,274.938,236.113,-38.825,105.766,6.538,112.304,80.883,31.641,11.285,0,236.113,0,11816,-1500
01-Jun-12,274.57,225.473,-49.097,103.168,5.354,108.522,77.256,29.753,9.942,0,225.473,0,11439,-2000
02-Jun-12,270.43,225.921,-44.509,103.972,4.705,108.677,76.097,30.539,10.608,0,225.921,0,12123,-2000
03-Jun-12,271.587,232.139,-39.448,105.476,4.35,109.826,77.176,33.995,11.142,0,232.139,0,11275,-1300
04-Jun-12,271.41,232.346,-39.064,107.299,5.331,112.63,78.41,29.49,11.816,0,232.346,0,11685,-1500
05-Jun-12,275.584,233.667,-41.917,104.6,5.521,110.121,79.599,32.077,11.87,0,233.667,0,12277,-2000
06-Jun-12,273.103,245.824,-27.279,106.412,4.792,111.204,86.152,36.671,11.797,0,245.824,0,12138,-1500
07-Jun-12,277.301,243.733,-33.568,106.459,6.545,113.004,87.454,31.952,11.323,0,243.733,0,11826,-1000
08-Jun-12,270.416,237.599,-32.817,106.665,5.081,111.746,85.842,29.43,10.581,0,237.599,0,11814,-1550
09-Jun-12,263.011,234.349,-28.662,103.844,5.454,109.298,81.28,32.993,10.778,0,234.349,0,11843,-1600
10-Jun-12,248.256,221.208,-27.048,92.753,6.912,99.665,77.14,32.714,11.689,0,221.208,0,11062,-1500
11-Jun-12,264.548,227.333,-37.215,102.138,5.563,107.701,77.009,30.952,11.671,0,227.333,0,11897,-2000
12-Jun-12,263.724,221.975,-41.749,102.848,5.671,108.519,70.456,31.322,11.678,0,221.975,0,11551,-2100
13-Jun-12,261.45,222.263,-39.187,103.471,4.435,107.906,69.299,33.41,11.648,0,222.263,0,11796,-2100
14-Jun-12,263.232,220.651,-42.581,100.302,5.459,105.761,71.592,31.281,12.017,0,220.651,0,11912,-2300
15-Jun-12,263.546,219.861,-43.685,97.732,5.723,103.455,73.05,31.888,11.468,0,219.861,0,11395,-2100
16-Jun-12,263.173,223.429,-39.744,98.415,4.646,103.061,76.38,32.535,11.453,0,223.429,0,11467,-1700
17-Jun-12,231.763,213.155,-18.608,95.704,2.679,98.383,70.927,32.017,11.828,0,213.155,0,10661,-800
